TypeAnomaly,Severity,City,DetectionDateTime
Excessive Wind,Critical,Trento,2001-04-28T22:18:11
Excessive Precipitation,Low,Predazzo,2001-04-30T18:35:58
Reduced Visibility,Medium,Lavarone,2001-04-30T02:05:41
Too Cold Temperature,Medium,Mezzana,2001-05-01T00:44:31
Excessive Wind,Low,Povo,2001-05-01T23:10:20
Reduced Visibility,Critical,Cavalese,2001-05-03T08:52:45
Too Cold Temperature,Medium,Povo,2001-05-03T23:54:20
Reduced Visibility,Critical,Predazzo,2001-05-03T19:21:36
Too Cold Temperature,Medium,Predazzo,2001-05-04T03:11:44
Too Hot Temperature,High,Mezzana,2001-05-04T12:19:02
Too Hot Temperature,Low,Arco,2001-05-07T01:07:16
Excessive Precipitation,Critical,Trento,2001-05-07T02:29:14
Reduced Visibility,Critical,Predazzo,2001-05-09T13:49:10
Excessive Wind,Low,Cavalese,2001-05-10T17:52:06
Too Hot Temperature,Low,Cavalese,2001-05-11T14:44:42
Solid Precipitation,Medium,Telve,2001-05-11T20:33:03
Too Cold Temperature,Medium,Cavalese,2001-05-11T14:30:19
Prolonged Low Precipitation,Medium,Povo,2001-05-12T18:22:45
Reduced Visibility,Medium,Tenno,2001-05-12T17:21:00
Too Cold Temperature,Medium,Trento,2001-05-14T02:38:16
Reduced Visibility,Medium,Tenno,2001-05-15T04:50:17
Too Hot Temperature,Low,Telve,2001-05-16T12:11:26
Too Cold Temperature,Low,Trento,2001-05-16T18:25:12
Too Cold Temperature,Low,Povo,2001-05-16T12:52:14
Too Cold Temperature,Low,Mezzana,2001-05-17T20:51:19
Too Cold Temperature,Critical,Rovereto,2001-05-17T03:19:45
Excessive Precipitation,Low,Tenno,2001-05-18T13:20:53
Prolonged Low Precipitation,Low,Trento,2001-05-18T01:45:51
Prolonged Low Precipitation,Critical,Tenno,2001-05-18T15:18:37
Too Hot Temperature,Critical,Cavalese,2001-05-19T07:02:49
Solid Precipitation,Critical,Telve,2001-05-19T18:54:32
Too Cold Temperature,High,Cavalese,2001-05-21T13:36:13
Too Cold Temperature,Low,Cavalese,2001-05-22T14:50:48
Too Cold Temperature,Medium,Rovereto,2001-05-23T11:16:32
Reduced Visibility,Medium,Povo,2001-05-23T07:14:34
Excessive Precipitation,Critical,Cavalese,2001-05-23T07:58:52
Solid Precipitation,Critical,Rovereto,2001-05-24T14:34:59
Too Cold Temperature,High,Mezzana,2001-05-24T20:34:09
Solid Precipitation,Low,Cavalese,2001-05-25T11:05:03
Reduced Visibility,Low,Rovereto,2001-05-28T05:14:42
Excessive Precipitation,High,Povo,2001-05-30T00:29:29
Reduced Visibility,High,Cavalese,2001-05-30T16:01:45
Prolonged Low Precipitation,High,Mezzana,2001-05-30T21:56:08
Solid Precipitation,High,Rovereto,2001-05-31T13:48:30
Excessive Wind,Low,Predazzo,2001-05-31T21:21:11
Reduced Visibility,High,Predazzo,2001-06-01T13:35:44
Too Hot Temperature,Low,Rovereto,2001-06-01T05:17:48
Too Hot Temperature,Critical,Cavalese,2001-06-02T02:25:29
Excessive Wind,Medium,Tenno,2001-06-02T05:18:06
Prolonged Low Precipitation,Low,Cavalese,2001-06-03T04:18:33
Excessive Wind,Medium,Lavarone,2001-06-04T21:20:53
Too Cold Temperature,Low,Cavalese,2001-06-04T23:44:44
Prolonged Low Precipitation,Low,Lavarone,2001-06-04T19:33:32
Reduced Visibility,Low,Povo,2001-06-08T00:16:34
Too Cold Temperature,Critical,Lavarone,2001-06-08T20:17:08
Prolonged Low Precipitation,High,Telve,2001-06-09T21:50:21
Reduced Visibility,High,Rovereto,2001-06-09T04:40:56
Too Hot Temperature,Low,Lavarone,2001-06-09T02:02:36
Solid Precipitation,Low,Telve,2001-06-10T21:18:03
Excessive Wind,Medium,Mezzana,2001-06-10T07:13:36
Solid Precipitation,Critical,Tenno,2001-06-10T12:13:59
Reduced Visibility,Medium,Predazzo,2001-06-12T15:06:59
Solid Precipitation,High,Cavalese,2001-06-12T21:32:33
Too Cold Temperature,High,Telve,2001-06-12T22:32:32
Prolonged Low Precipitation,High,Mezzana,2001-06-13T19:44:42
Prolonged Low Precipitation,Low,Predazzo,2001-06-14T22:09:15
Reduced Visibility,Low,Telve,2001-06-16T18:58:13
Prolonged Low Precipitation,Critical,Telve,2001-06-16T15:55:20
Prolonged Low Precipitation,Medium,Telve,2001-06-17T08:26:49
Reduced Visibility,Medium,Telve,2001-06-18T09:47:40
Excessive Wind,Critical,Telve,2001-06-18T05:36:24
Prolonged Low Precipitation,High,Trento,2001-06-18T03:20:06
Reduced Visibility,Critical,Predazzo,2001-06-19T02:49:46
Reduced Visibility,Critical,Trento,2001-06-19T07:23:37
Reduced Visibility,Medium,Predazzo,2001-06-19T01:18:50
Too Hot Temperature,High,Tenno,2001-06-20T08:04:53
Too Hot Temperature,Critical,Povo,2001-06-20T12:12:19
Excessive Wind,High,Telve,2001-06-20T09:59:26
Reduced Visibility,High,Telve,2001-06-21T10:44:36
Solid Precipitation,Critical,Lavarone,2001-06-21T05:08:29
Solid Precipitation,Critical,Cavalese,2001-06-21T19:24:36
Too Cold Temperature,Medium,Tenno,2001-06-22T19:56:37
Excessive Precipitation,Low,Trento,2001-06-22T20:11:23
Prolonged Low Precipitation,Low,Trento,2001-06-22T01:35:16
Reduced Visibility,Critical,Arco,2001-06-23T21:43:22
Too Hot Temperature,Medium,Tenno,2001-06-24T01:31:29
Reduced Visibility,High,Lavarone,2001-06-24T01:25:44
Excessive Wind,High,Povo,2001-06-26T04:15:15
Prolonged Low Precipitation,Critical,Tenno,2001-06-26T13:30:35
Too Cold Temperature,High,Tenno,2001-06-27T08:51:29
Too Hot Temperature,Low,Rovereto,2001-06-28T23:15:38
Excessive Precipitation,High,Povo,2001-06-28T19:46:08
Solid Precipitation,High,Lavarone,2001-06-28T23:34:39
Too Cold Temperature,Critical,Rovereto,2001-06-30T05:17:29
Too Cold Temperature,Low,Predazzo,2001-07-01T21:33:18
Prolonged Low Precipitation,Medium,Tenno,2001-07-01T12:47:50
Too Cold Temperature,Critical,Arco,2001-07-01T19:12:09
Prolonged Low Precipitation,High,Predazzo,2001-07-02T09:34:21
Prolonged Low Precipitation,Low,Predazzo,2001-07-02T16:25:57
Too Cold Temperature,Critical,Povo,2001-07-02T14:23:31
Prolonged Low Precipitation,Medium,Mezzana,2001-07-03T17:17:13
Prolonged Low Precipitation,Critical,Trento,2001-07-03T00:02:02
Prolonged Low Precipitation,Critical,Trento,2001-07-03T15:37:58
Reduced Visibility,Critical,Predazzo,2001-07-04T03:02:50
Solid Precipitation,Medium,Povo,2001-07-04T17:39:28
Excessive Precipitation,Medium,Lavarone,2001-07-05T08:28:00
Prolonged Low Precipitation,High,Telve,2001-07-06T19:27:31
Prolonged Low Precipitation,Low,Tenno,2001-07-07T04:05:24
Too Cold Temperature,Low,Tenno,2001-07-07T06:32:44
Too Hot Temperature,High,Trento,2001-07-07T03:40:40
Solid Precipitation,High,Mezzana,2001-07-08T04:41:26
Reduced Visibility,Low,Predazzo,2001-07-08T09:57:07
Too Hot Temperature,High,Telve,2001-07-08T04:21:19
Prolonged Low Precipitation,Critical,Lavarone,2001-07-09T05:03:24
Excessive Precipitation,Medium,Tenno,2001-07-09T13:09:01
Too Hot Temperature,Critical,Trento,2001-07-09T08:44:17
Solid Precipitation,Low,Mezzana,2001-07-10T16:28:58
Too Hot Temperature,Low,Tenno,2001-07-10T08:08:57
Prolonged Low Precipitation,Low,Trento,2001-07-11T15:15:16
Solid Precipitation,Critical,Tenno,2001-07-12T19:05:16
Too Cold Temperature,High,Rovereto,2001-07-12T19:24:01
Reduced Visibility,Low,Arco,2001-07-12T17:05:22
Prolonged Low Precipitation,Critical,Lavarone,2001-07-15T17:03:59
Too Cold Temperature,Critical,Trento,2001-07-17T21:58:30
Solid Precipitation,Critical,Arco,2001-07-17T09:40:05
Excessive Precipitation,High,Tenno,2001-07-17T10:33:07
Prolonged Low Precipitation,Medium,Mezzana,2001-07-18T06:15:38
Excessive Wind,Low,Tenno,2001-07-18T20:20:14
Too Hot Temperature,Low,Trento,2001-07-19T02:05:42
Excessive Wind,Low,Rovereto,2001-07-19T20:54:23
Reduced Visibility,Medium,Tenno,2001-07-19T06:35:54
Reduced Visibility,Low,Arco,2001-07-20T21:47:55
Excessive Wind,Critical,Telve,2001-07-21T05:28:04
Excessive Wind,Medium,Lavarone,2001-07-21T08:45:09
Prolonged Low Precipitation,Critical,Predazzo,2001-07-22T03:36:46
Excessive Wind,Critical,Telve,2001-07-22T15:35:13
Prolonged Low Precipitation,Critical,Predazzo,2001-07-22T16:49:48
Reduced Visibility,High,Telve,2001-07-23T11:26:13
Reduced Visibility,Critical,Arco,2001-07-23T21:36:53
Solid Precipitation,High,Predazzo,2001-07-24T17:36:03
Solid Precipitation,Low,Povo,2001-07-25T17:50:00
Excessive Precipitation,High,Arco,2001-07-25T09:12:39
Too Hot Temperature,Low,Lavarone,2001-07-25T21:21:47
Too Hot Temperature,High,Telve,2001-07-26T00:49:45
Solid Precipitation,Medium,Mezzana,2001-07-26T09:55:03
Excessive Wind,Low,Rovereto,2001-07-27T07:03:13
Excessive Wind,High,Arco,2001-07-27T16:09:18
Prolonged Low Precipitation,Critical,Rovereto,2001-07-27T20:31:15
Excessive Wind,Low,Predazzo,2001-07-29T17:39:25
Reduced Visibility,Low,Lavarone,2001-07-29T01:01:19
Prolonged Low Precipitation,Critical,Lavarone,2001-07-30T07:12:58
Solid Precipitation,High,Cavalese,2001-07-31T09:58:01
Solid Precipitation,High,Predazzo,2001-07-31T00:31:19
Solid Precipitation,Medium,Mezzana,2001-07-31T02:17:46
Reduced Visibility,Medium,Lavarone,2001-08-01T01:08:04
Excessive Precipitation,Low,Trento,2001-08-01T09:59:45
Excessive Wind,Medium,Povo,2001-08-01T08:55:20
Too Hot Temperature,Critical,Rovereto,2001-08-02T12:38:08
Too Hot Temperature,Low,Arco,2001-08-02T10:07:17
Excessive Wind,High,Arco,2001-08-03T11:26:01
Excessive Precipitation,Low,Rovereto,2001-08-03T12:04:48
Excessive Precipitation,Low,Telve,2001-08-06T17:47:57
Excessive Precipitation,Low,Telve,2001-08-06T19:36:23
Too Cold Temperature,Medium,Tenno,2001-08-06T15:57:06
Excessive Precipitation,High,Lavarone,2001-08-08T18:50:54
Reduced Visibility,Critical,Mezzana,2001-08-10T09:41:58
Too Hot Temperature,Critical,Povo,2001-08-10T05:29:56
Prolonged Low Precipitation,Medium,Povo,2001-08-10T05:06:56
Solid Precipitation,Critical,Lavarone,2001-08-11T14:02:53
Too Cold Temperature,Medium,Predazzo,2001-08-12T11:40:15
Prolonged Low Precipitation,High,Arco,2001-08-12T03:03:42
Too Hot Temperature,Low,Rovereto,2001-08-13T12:53:21
Excessive Precipitation,Medium,Tenno,2001-08-13T04:39:16
Too Cold Temperature,Medium,Mezzana,2001-08-13T04:50:11
Too Hot Temperature,Medium,Lavarone,2001-08-15T06:29:31
Prolonged Low Precipitation,Critical,Rovereto,2001-08-15T20:54:02
Excessive Precipitation,Medium,Arco,2001-08-15T22:55:17
Too Hot Temperature,High,Lavarone,2001-08-17T08:46:31
Excessive Precipitation,Medium,Rovereto,2001-08-18T19:20:52
Reduced Visibility,Low,Povo,2001-08-18T14:16:44
Too Hot Temperature,Medium,Mezzana,2001-08-18T08:27:37
Too Hot Temperature,Medium,Cavalese,2001-08-19T00:14:55
Solid Precipitation,Medium,Tenno,2001-08-20T10:05:48
Too Hot Temperature,Medium,Lavarone,2001-08-23T08:00:44
Too Hot Temperature,Medium,Lavarone,2001-08-24T00:45:29
Too Cold Temperature,Medium,Tenno,2001-08-24T13:22:51
Excessive Precipitation,High,Arco,2001-08-24T16:54:58
Reduced Visibility,Low,Tenno,2001-08-25T05:18:44
Excessive Precipitation,High,Trento,2001-08-26T12:05:41
Reduced Visibility,Low,Rovereto,2001-08-28T07:01:50
Excessive Wind,Low,Cavalese,2001-08-29T19:19:33
Excessive Precipitation,Critical,Tenno,2001-08-30T23:17:19
Excessive Precipitation,High,Lavarone,2001-08-30T16:45:59
Solid Precipitation,Critical,Telve,2001-08-30T18:16:05
Too Cold Temperature,High,Predazzo,2001-09-01T17:00:17
Solid Precipitation,Medium,Cavalese,2001-09-01T11:38:12
Too Cold Temperature,Low,Lavarone,2001-09-02T15:04:44
Too Hot Temperature,High,Cavalese,2001-09-02T07:21:52
Prolonged Low Precipitation,Medium,Telve,2001-09-03T19:16:49
Prolonged Low Precipitation,Critical,Trento,2001-09-03T07:26:36
Excessive Precipitation,High,Cavalese,2001-09-03T11:01:02
Too Cold Temperature,Critical,Arco,2001-09-04T01:37:10
Excessive Wind,Critical,Trento,2001-09-05T18:17:38
Too Hot Temperature,Medium,Arco,2001-09-06T18:50:03
Too Hot Temperature,High,Mezzana,2001-09-06T16:39:23
Too Cold Temperature,Low,Trento,2001-09-07T10:21:57
Too Hot Temperature,Low,Telve,2001-09-07T17:44:26
Too Hot Temperature,Critical,Povo,2001-09-07T23:11:51
Solid Precipitation,Medium,Tenno,2001-09-08T14:29:59
Reduced Visibility,Low,Trento,2001-09-09T16:26:04
Prolonged Low Precipitation,Low,Povo,2001-09-09T09:15:54
Excessive Precipitation,Critical,Lavarone,2001-09-09T16:59:42
Excessive Wind,Medium,Povo,2001-09-10T22:36:56
Prolonged Low Precipitation,Low,Lavarone,2001-09-10T17:44:33
Too Hot Temperature,Medium,Arco,2001-09-11T18:53:16
Excessive Precipitation,Low,Rovereto,2001-09-11T00:48:05
Too Hot Temperature,Medium,Lavarone,2001-09-11T03:12:54
Excessive Precipitation,Medium,Povo,2001-09-12T23:30:33
Too Hot Temperature,Medium,Lavarone,2001-09-14T16:12:10
Too Hot Temperature,Low,Rovereto,2001-09-14T04:17:57
Too Cold Temperature,Medium,Cavalese,2001-09-14T17:44:46
Prolonged Low Precipitation,Low,Tenno,2001-09-15T08:44:48
Solid Precipitation,High,Predazzo,2001-09-17T06:56:32
Excessive Precipitation,High,Rovereto,2001-09-19T17:13:22
Excessive Precipitation,Low,Tenno,2001-09-19T02:21:39
Solid Precipitation,High,Arco,2001-09-20T19:02:00
Excessive Wind,Low,Povo,2001-09-20T10:19:47
Excessive Precipitation,High,Lavarone,2001-09-22T08:28:33
Reduced Visibility,Low,Tenno,2001-09-22T07:19:33
Reduced Visibility,Medium,Arco,2001-09-22T12:24:27
Reduced Visibility,Low,Rovereto,2001-09-23T20:38:52
Too Cold Temperature,Low,Arco,2001-09-24T07:41:04
Solid Precipitation,Medium,Cavalese,2001-09-26T04:32:35
Solid Precipitation,Critical,Lavarone,2001-09-27T05:26:08
Prolonged Low Precipitation,Low,Lavarone,2001-09-29T15:43:26
Excessive Wind,Medium,Mezzana,2001-09-29T22:27:53
Excessive Precipitation,Low,Tenno,2001-09-29T14:23:54
Excessive Precipitation,Low,Lavarone,2001-09-30T08:34:36
Too Cold Temperature,Medium,Predazzo,2001-09-30T17:08:05
Solid Precipitation,Critical,Lavarone,2001-09-30T01:04:05
Reduced Visibility,High,Mezzana,2001-10-01T19:26:54
Reduced Visibility,Critical,Tenno,2001-10-01T15:45:54
Excessive Precipitation,High,Cavalese,2001-10-02T05:34:01
Too Hot Temperature,Low,Arco,2001-10-02T13:28:00
Prolonged Low Precipitation,Critical,Tenno,2001-10-04T22:16:22
Too Cold Temperature,Medium,Povo,2001-10-04T03:52:00
Prolonged Low Precipitation,Medium,Arco,2001-10-05T04:46:37
Too Hot Temperature,Critical,Telve,2001-10-05T21:28:24
Reduced Visibility,High,Telve,2001-10-05T12:25:22
Solid Precipitation,Low,Telve,2001-10-06T04:30:54
Reduced Visibility,High,Mezzana,2001-10-10T23:27:32
Excessive Wind,Critical,Tenno,2001-10-10T16:25:50
Prolonged Low Precipitation,High,Lavarone,2001-10-10T19:39:56
Reduced Visibility,Medium,Trento,2001-10-11T04:03:06
Prolonged Low Precipitation,Critical,Cavalese,2001-10-12T14:43:43
Solid Precipitation,Low,Arco,2001-10-13T00:23:45
Reduced Visibility,Medium,Rovereto,2001-10-13T18:50:17
Too Hot Temperature,High,Arco,2001-10-15T02:05:30
Too Hot Temperature,Low,Arco,2001-10-15T12:12:33
Too Cold Temperature,Low,Cavalese,2001-10-15T02:30:15
Prolonged Low Precipitation,High,Cavalese,2001-10-17T23:05:35
Too Cold Temperature,Low,Povo,2001-10-17T07:25:34
Excessive Precipitation,Medium,Rovereto,2001-10-17T02:34:51
Excessive Wind,Medium,Telve,2001-10-21T14:35:11
Prolonged Low Precipitation,High,Cavalese,2001-10-22T19:52:37
Excessive Wind,Medium,Povo,2001-10-22T02:02:20
Excessive Precipitation,High,Lavarone,2001-10-22T20:19:26
Reduced Visibility,Medium,Telve,2001-10-23T07:45:24
Excessive Precipitation,Low,Povo,2001-10-23T16:40:22
Excessive Precipitation,Low,Tenno,2001-10-26T02:17:21
Reduced Visibility,High,Arco,2001-10-26T15:13:46
Reduced Visibility,Medium,Rovereto,2001-10-26T02:46:36
Solid Precipitation,Critical,Trento,2001-10-27T19:19:24
Reduced Visibility,Low,Cavalese,2001-10-28T07:22:48
Excessive Precipitation,Critical,Cavalese,2001-10-29T02:15:39
Reduced Visibility,Low,Lavarone,2001-10-29T02:24:39
Excessive Wind,High,Predazzo,2001-10-30T03:37:46
Solid Precipitation,Low,Tenno,2001-10-30T17:53:54
Prolonged Low Precipitation,Critical,Lavarone,2001-10-31T12:17:09
Excessive Wind,Low,Arco,2001-11-01T04:31:24
Reduced Visibility,Low,Lavarone,2001-11-02T15:22:47
Reduced Visibility,Medium,Trento,2001-11-03T00:30:47
Excessive Wind,High,Predazzo,2001-11-03T18:25:46
Excessive Precipitation,Critical,Arco,2001-11-03T05:36:46
Too Cold Temperature,High,Trento,2001-11-05T08:09:27
Prolonged Low Precipitation,Low,Predazzo,2001-11-06T07:25:14
Too Hot Temperature,Medium,Cavalese,2001-11-07T23:00:02
Too Hot Temperature,High,Trento,2001-11-07T20:30:42
Excessive Precipitation,High,Telve,2001-11-08T09:05:59
Excessive Wind,Medium,Tenno,2001-11-08T02:56:10
Excessive Precipitation,Medium,Telve,2001-11-08T22:40:22
Excessive Wind,Medium,Povo,2001-11-09T11:36:50
Excessive Wind,High,Telve,2001-11-09T03:52:51
Too Cold Temperature,Low,Povo,2001-11-09T13:01:33
Too Hot Temperature,Medium,Trento,2001-11-10T07:37:55
Excessive Wind,Low,Telve,2001-11-11T12:55:53
Solid Precipitation,Low,Arco,2001-11-11T03:43:23
Prolonged Low Precipitation,Critical,Lavarone,2001-11-13T00:31:48
Too Hot Temperature,Low,Telve,2001-11-13T04:27:21
Too Cold Temperature,Low,Trento,2001-11-13T22:58:27
Too Hot Temperature,Critical,Predazzo,2001-11-15T04:07:23
Excessive Precipitation,Low,Cavalese,2001-11-15T12:28:40
Solid Precipitation,Medium,Povo,2001-11-16T08:13:50
Reduced Visibility,Medium,Telve,2001-11-16T05:10:42
Too Cold Temperature,Medium,Telve,2001-11-18T23:15:32
Excessive Wind,Low,Cavalese,2001-11-20T19:14:46
Too Hot Temperature,High,Trento,2001-11-20T07:21:03
Too Hot Temperature,High,Tenno,2001-11-21T02:33:32
Solid Precipitation,Medium,Cavalese,2001-11-21T12:01:16
Prolonged Low Precipitation,Critical,Arco,2001-11-21T22:27:03
Too Cold Temperature,Low,Cavalese,2001-11-22T18:50:59
Excessive Precipitation,Low,Predazzo,2001-11-22T03:30:56
Too Cold Temperature,Critical,Cavalese,2001-11-24T20:38:16
Reduced Visibility,Low,Arco,2001-11-24T15:42:57
Reduced Visibility,High,Lavarone,2001-11-24T13:20:24
Excessive Precipitation,Critical,Lavarone,2001-11-25T08:56:33
Too Hot Temperature,Medium,Tenno,2001-11-26T11:20:13
Excessive Wind,Medium,Povo,2001-11-26T19:56:43
Reduced Visibility,Medium,Arco,2001-11-26T21:36:16
Too Hot Temperature,High,Povo,2001-11-28T14:47:14
Excessive Wind,Medium,Predazzo,2001-11-28T12:36:07
Prolonged Low Precipitation,High,Predazzo,2001-11-28T05:14:46
Too Cold Temperature,Medium,Tenno,2001-11-29T05:47:54
Solid Precipitation,Low,Lavarone,2001-11-29T08:44:29
Prolonged Low Precipitation,Critical,Tenno,2001-11-29T04:20:37
Too Hot Temperature,High,Arco,2001-11-30T05:23:26
Reduced Visibility,Medium,Lavarone,2001-11-30T10:26:08
Too Hot Temperature,Low,Trento,2001-11-30T15:12:32
Too Hot Temperature,Low,Cavalese,2001-12-01T05:45:38
Reduced Visibility,Low,Lavarone,2001-12-02T19:40:12
Too Cold Temperature,Low,Rovereto,2001-12-02T17:29:57
Too Hot Temperature,High,Predazzo,2001-12-02T15:43:01
Reduced Visibility,Medium,Rovereto,2001-12-04T12:36:55
Reduced Visibility,Critical,Tenno,2001-12-04T07:23:48
Prolonged Low Precipitation,Critical,Trento,2001-12-04T20:15:46
Reduced Visibility,High,Tenno,2001-12-07T15:24:35
Reduced Visibility,Critical,Mezzana,2001-12-07T17:19:41
Too Cold Temperature,Low,Povo,2001-12-09T19:55:03
Too Cold Temperature,Low,Tenno,2001-12-09T11:17:56
Excessive Wind,High,Povo,2001-12-10T13:10:21
Reduced Visibility,High,Telve,2001-12-13T01:53:48
Reduced Visibility,Critical,Telve,2001-12-13T16:22:28
Too Hot Temperature,Medium,Predazzo,2001-12-13T22:02:53
Too Hot Temperature,Low,Rovereto,2001-12-14T11:41:22
Reduced Visibility,Low,Lavarone,2001-12-14T14:59:30
Excessive Precipitation,Medium,Predazzo,2001-12-14T15:10:58
Too Hot Temperature,Low,Tenno,2001-12-15T06:06:45
Excessive Precipitation,Low,Mezzana,2001-12-15T23:44:14
Reduced Visibility,Low,Predazzo,2001-12-16T18:03:23
Excessive Wind,Critical,Lavarone,2001-12-16T13:39:26
Too Cold Temperature,Medium,Arco,2001-12-16T08:39:56
Excessive Precipitation,Low,Mezzana,2001-12-17T10:15:42
Too Cold Temperature,High,Arco,2001-12-18T16:58:34
Too Hot Temperature,Low,Povo,2001-12-19T01:12:30
Too Cold Temperature,High,Rovereto,2001-12-19T22:17:27
Too Hot Temperature,High,Trento,2001-12-20T16:56:42
Prolonged Low Precipitation,Medium,Mezzana,2001-12-20T14:20:05
Prolonged Low Precipitation,Critical,Rovereto,2001-12-20T00:03:37
Excessive Precipitation,Critical,Arco,2001-12-22T18:49:17
Reduced Visibility,Low,Cavalese,2001-12-23T04:06:11
Too Hot Temperature,Low,Trento,2001-12-23T06:02:30
Solid Precipitation,High,Arco,2001-12-24T21:27:35
Reduced Visibility,Critical,Arco,2001-12-25T15:20:26
Too Cold Temperature,Critical,Predazzo,2001-12-27T11:41:57
Solid Precipitation,High,Arco,2001-12-28T14:06:04
Solid Precipitation,Low,Lavarone,2001-12-28T01:11:08
Excessive Wind,High,Trento,2001-12-28T13:22:20
Too Cold Temperature,Medium,Povo,2001-12-29T00:51:37
Solid Precipitation,Low,Cavalese,2001-12-29T12:27:40
Solid Precipitation,Medium,Rovereto,2001-12-30T05:38:14
Solid Precipitation,Medium,Telve,2001-12-31T23:11:35
Reduced Visibility,Medium,Tenno,2001-12-31T15:39:14
Too Cold Temperature,Critical,Cavalese,2002-01-01T11:52:34
Prolonged Low Precipitation,High,Telve,2002-01-01T20:01:48
Excessive Wind,Low,Povo,2002-01-01T06:49:34
Too Hot Temperature,Critical,Telve,2002-01-02T17:24:09
Excessive Wind,Critical,Trento,2002-01-02T20:32:42
Excessive Precipitation,Low,Telve,2002-01-03T18:53:53
Too Hot Temperature,Critical,Predazzo,2002-01-03T04:50:57
Solid Precipitation,Critical,Mezzana,2002-01-04T09:43:56
Excessive Wind,High,Trento,2002-01-04T17:36:02
Too Cold Temperature,Medium,Arco,2002-01-04T16:11:23
Prolonged Low Precipitation,High,Rovereto,2002-01-05T23:18:52
Solid Precipitation,Medium,Rovereto,2002-01-09T01:04:42
Too Cold Temperature,Critical,Cavalese,2002-01-09T02:39:02
Reduced Visibility,Low,Predazzo,2002-01-10T12:29:49
Too Hot Temperature,Medium,Telve,2002-01-10T21:58:57
Reduced Visibility,Medium,Cavalese,2002-01-11T07:29:59
Solid Precipitation,Critical,Tenno,2002-01-11T21:07:48
Reduced Visibility,Critical,Predazzo,2002-01-11T09:18:39
Excessive Precipitation,Medium,Lavarone,2002-01-12T22:28:28
Excessive Precipitation,High,Rovereto,2002-01-13T08:23:30
Excessive Wind,Critical,Mezzana,2002-01-13T16:08:19
Excessive Precipitation,Medium,Mezzana,2002-01-16T17:52:44
Too Cold Temperature,Medium,Lavarone,2002-01-16T11:53:13
Excessive Wind,Medium,Lavarone,2002-01-16T03:14:47
Solid Precipitation,Low,Trento,2002-01-22T03:24:07
Solid Precipitation,Critical,Telve,2002-01-22T00:39:56
Excessive Precipitation,Critical,Mezzana,2002-01-23T16:51:30
Excessive Precipitation,High,Telve,2002-01-25T13:22:14
Reduced Visibility,Low,Lavarone,2002-01-25T17:29:07
Solid Precipitation,Low,Tenno,2002-01-26T21:53:53
Too Cold Temperature,Medium,Arco,2002-01-26T18:51:01
Solid Precipitation,High,Lavarone,2002-01-26T02:59:58
Solid Precipitation,Critical,Trento,2002-01-28T08:08:59
Reduced Visibility,Medium,Rovereto,2002-01-28T23:52:32
Solid Precipitation,Medium,Lavarone,2002-01-28T05:05:46
Excessive Wind,High,Povo,2002-01-29T18:48:14
Too Cold Temperature,Low,Arco,2002-01-30T14:31:23
Solid Precipitation,High,Predazzo,2002-01-30T07:47:55
Too Hot Temperature,Low,Lavarone,2002-01-31T19:44:11
Solid Precipitation,Low,Cavalese,2002-01-31T21:39:32
Too Cold Temperature,Critical,Trento,2002-02-01T10:46:41
Too Hot Temperature,Critical,Arco,2002-02-02T10:51:16
Too Cold Temperature,Medium,Rovereto,2002-02-02T05:42:53
Excessive Precipitation,Medium,Lavarone,2002-02-03T03:07:49
Solid Precipitation,Low,Telve,2002-02-03T06:35:25
Too Hot Temperature,Low,Povo,2002-02-03T08:30:44
Too Hot Temperature,Medium,Predazzo,2002-02-04T18:21:25
Excessive Wind,High,Cavalese,2002-02-04T11:41:16
Excessive Wind,Critical,Mezzana,2002-02-05T22:30:24
Prolonged Low Precipitation,Medium,Tenno,2002-02-05T00:16:04
Prolonged Low Precipitation,Low,Rovereto,2002-02-06T11:18:32
Solid Precipitation,High,Telve,2002-02-06T22:56:45
Solid Precipitation,Medium,Trento,2002-02-07T01:20:32
Solid Precipitation,High,Cavalese,2002-02-08T22:23:39
Too Cold Temperature,Low,Povo,2002-02-09T03:38:29
Excessive Wind,Critical,Lavarone,2002-02-10T07:19:46
Excessive Wind,Critical,Rovereto,2002-02-12T18:43:00
Reduced Visibility,Critical,Tenno,2002-02-13T12:56:49
Reduced Visibility,Low,Predazzo,2002-02-14T07:36:36
Reduced Visibility,High,Mezzana,2002-02-14T13:22:26
Excessive Wind,Low,Cavalese,2002-02-16T19:52:08
Reduced Visibility,Low,Lavarone,2002-02-16T13:59:08
Prolonged Low Precipitation,Low,Rovereto,2002-02-17T02:12:08
Reduced Visibility,High,Tenno,2002-02-17T03:26:24
Solid Precipitation,Critical,Trento,2002-02-18T20:11:34
Too Cold Temperature,Critical,Cavalese,2002-02-19T02:55:37
Solid Precipitation,High,Cavalese,2002-02-19T12:38:11
Too Cold Temperature,Critical,Arco,2002-02-19T03:52:45
Solid Precipitation,Medium,Telve,2002-02-21T00:28:37
Excessive Wind,Critical,Rovereto,2002-02-21T05:23:18
Too Hot Temperature,Medium,Predazzo,2002-02-22T17:58:57
Reduced Visibility,Critical,Tenno,2002-02-22T01:08:29
Too Hot Temperature,High,Lavarone,2002-02-23T09:54:57
Too Cold Temperature,Low,Povo,2002-02-24T16:41:50
Too Hot Temperature,Critical,Mezzana,2002-02-24T00:29:35
